"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
"153201 (2000 WO107)",0.510,60200,0.7807,0.9111,7.77,69.21,213.74,126.20,1.133,0.00289
"153220 (2000 YN29)",,60200,0.6744,2.538,6.18,64.49,142.24,191.98,0.2438,0.0359
"153311 (2001 MG1)",,60200,0.6461,2.501,28.41,142.36,218.50,204.51,0.2491,0.0396
"153591 (2001 SN263)",2,60200,0.4800,1.987,6.69,325.74,173.06,202.65,0.3519,0.0459
"153814 (2001 WN5)",0.932,60200,0.4669,1.712,1.92,277.39,44.65,294.45,0.4401,0.00164
"153958 (2002 AM31)",,60200,0.4515,1.703,4.64,144.37,197.97,349.49,0.4434,0.0317
"154019 (2002 CZ9)",,60200,0.3603,1.325,4.97,142.87,80.82,6.22,0.646,0.0251
"154269 (2002 SM)",,60200,0.4860,1.873,14.42,10.88,217.30,146.38,0.3845,0.0233
"154275 (2002 SR41)",,60200,0.4907,1.084,11.58,247.77,258.20,130.23,0.8737,0.0364
"154276 (2002 SY50)",1.060,60200,0.6887,1.705,8.75,34.04,99.67,110.90,0.4429,0.00384
"154302 (2002 UQ3)",,60200,0.5613,1.72,28.83,222.71,280.99,55.57,0.437,0.0386
"154330 (2002 VX94)",,60200,0.4089,1.477,7.16,320.09,215.20,133.71,0.5493,0.0334
"154590 (2003 MA3)",0.086,60200,0.4023,1.105,1.42,152.67,228.86,77.69,0.8483,0.0131
"155338 (2006 MZ1)",,60200,0.4826,1.569,2.08,226.59,138.70,240.60,0.5014,0.0131
"159504 (2000 WO67)",2.324,60200,0.6174,2.433,9.69,107.57,237.83,35.03,0.2596,0.0491
"159857 (2004 LJ1)",3.070,60200,0.5936,2.263,23.15,235.54,140.01,203.61,0.2895,0.0151
"161989 Cacus (1978 CA)",1.9,60200,0.2138,1.123,26.06,161.22,102.07,7.40,0.8285,0.0152
"162000 (1990 OS)",0.4,60200,0.4627,1.678,1.09,346.52,21.58,58.37,0.4533,0.009
"162039 (1996 JG)",,60200,0.6606,1.801,5.28,52.82,280.26,83.22,0.4077,0.0124
"162082 (1998 HL1)",,60200,0.1870,1.246,20.05,213.53,148.68,304.85,0.7084,0.0412
"162116 (1998 SA15)",0.538,60200,0.5583,1.916,7.11,114.18,331.42,119.05,0.3716,0.0473
"162120 (1998 SH36)",,60200,0.5709,1.088,2.13,217.83,278.84,292.05,0.8685,0.012
"162162 (1999 DB7)",,60200,0.1949,1.206,10.84,157.60,29.90,172.60,0.7444,0.000647
"162173 Ryugu (1999 JU3)",0.896,60200,0.1910,1.191,5.87,251.30,211.60,24.02,0.7583,0.000315
"162183 (1999 NB5)",,60200,0.5353,2.073,1.43,235.31,123.21,10.87,0.3303,0.0129
"162210 (1999 SM5)",,60200,0.6947,2.304,5.19,327.75,319.16,329.81,0.2818,0.0494
"162361 (2000 AF6)",,60200,0.4110,0.8759,2.71,109.87,201.27,67.82,1.202,0.0227
"162416 (2000 EH26)",,60200,0.4782,1.854,0.40,215.15,19.18,88.13,0.3903,0.00107
"162421 (2000 ET70)",,60200,0.1238,0.9468,22.32,331.14,46.11,323.47,1.07,0.0288
"162422 (2000 EV70)",,60200,0.5311,1.207,1.40,108.93,314.49,303.67,0.7431,0.0119
"162474 (2000 LB16)",,60200,0.3574,1.241,50.71,80.85,285.25,238.11,0.7132,0.00353
"162510 (2000 QW69)",1.406,60200,0.3022,1.376,38.15,344.34,220.72,207.18,0.6105,0.0232
"162567 (2000 RW37)",0.335,60200,0.2500,1.247,13.75,333.29,133.29,89.21,0.7074,0.00655
"162687 (2000 UH1)",,60200,0.5436,1.875,14.77,76.13,40.97,299.20,0.3839,0.0348
"162695 (2000 UL11)",,60200,0.6351,2.123,2.19,333.20,152.10,119.01,0.3187,0.0231
"162783 (2000 YJ11)",,60200,0.2323,1.314,7.26,64.93,339.13,65.20,0.6547,0.0294
"162825 (2001 BO61)",,60200,0.7437,1.774,9.07,159.69,78.94,171.99,0.417,0.0152
"162882 (2001 FD58)",,60200,0.5753,1.092,6.50,341.16,46.01,3.14,0.8633,0.0324
"162922 (2001 OY13)",,60200,0.3820,1.318,10.30,284.19,291.28,273.75,0.6511,0.0138
"162979 (2001 RA12)",,60200,0.5440,2.036,17.09,311.58,326.06,224.24,0.3392,0.0215
"162998 (2001 SK162)",0.875,60200,0.4741,1.926,1.68,285.30,186.43,34.04,0.3688,0.0283
"163014 (2001 UA5)",,60200,0.4455,1.787,9.94,58.62,27.66,42.92,0.4125,0.0313
"163026 (2001 XR30)",,60200,0.3652,1.297,11.86,247.85,294.48,199.23,0.6672,0.0223
"163051 (2001 YJ4)",,60200,0.5690,2.272,9.28,247.82,322.37,93.67,0.2878,0.0272
"163067 (2002 AP3)",,60200,0.5878,2.044,7.60,87.39,117.71,120.10,0.3373,0.0107
"163132 (2002 CU11)",0.460,60200,0.2952,1.22,48.78,157.75,110.52,296.50,0.7317,0.000462
"163243 (2002 FB3)",1.682,60200,0.6017,0.7616,20.28,203.57,148.33,236.19,1.483,0.0039
